Ground Water Table Hydrograph of 38 districts for the year 2008 to 2018,,,,,,
Well No.,Well,Long,Lat,Upazilla,District,Sub-Division
74,DH005,90.22,23.87,Dhamrai,Dhaka,akahD
75,DH103,90.42,23.83,Cantonment,,
76,DH099,90.10,23.60,Dohar,,
77,DH087,90.34,23.69,Keraniganj,,
78,DH015,90.37,23.79,Mirpur,,
79,DH108,90.37,23.75,Mahammadpur,,
80,DH065,90.21,23.66,Nawabganj,,
81,DH073,90.31,23.87,Savar,,
82,DH124,90.37,23.74,Tejgaon,,
83,DH078,90.48,23.96,Gazipur Sadar,Gazipur,
84,DH058,90.32,24.21,Kaliakair,,
85,DH122,90.28,24.13,Kaliakair,,
86,DH102,90.63,24.20,Kapasia,,
87,DH010,90.54,24.18,Sreepur,,
88,DH120,90.52,23.86,Kaliganj,,
89,JA013,89.86,25.24,Baksiganj,Jamalpur,
90,JA008,89.79,25.23,Dewanganj,,
91,JA014,89.76,25.10,Islampur,,
92,JA015,90.05,24.84,Jamalpur Sadar,,
93,JA016,89.78,24.92,Madarganj,,
94,JA007,89.81,24.98,Melandaha,,
95,JA006,89.82,24.78,Sarishabari,,
96,MY063,91.11,24.34,Astagram,Kishoreganj,
97,MY041,91.01,24.38,Nikli,,
98,MY070,90.71,24.29,Pakundia,,
99,MY013,90.99,24.24,Bajitpur,,
100,MY034,90.92,24.58,Tarail,,
101,MY071,90.95,24.16,Kuliar Char,,
102,MY088,90.85,24.40,Kishoreganj Sadar,,
103,MY069,91.00,24.12,Bhairab,,
104,MY012,90.82,24.33,Katiadi,,
105,MY010,90.91,24.48,Karimganj,,
106,MY090,90.65,24.45,Hossainpur,,
107,MY027,91.06,24.52,Itna,,
108,DH026,89.83,23.96,Daulatpur,Manikganj,
109,DH008,89.91,23.89,Ghior,,
110,DH066,90.01,23.71,Harirampur,,
111,DH007,90.07,23.83,Manikganj Sadar,,
