,"Monthly Minimum Wind speed in Knots and Directioction in Degrees by Station, 2015-2024",,,,,,,,,,,,,,,,,,,,,,,,
,Station/Year,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
,,spd,Dir,spd,Dir,spd,dir,Spd,dir,spd,dir,spd,dir,spd,dir,spd,dir,spd,dir,Spd,dir,spd,dir,spd,dir
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Station : Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1,360,1,270,1,270,1,290,1,90,1,90,1,180,1,360,1,180,1,90,1,90,1,50
,2016,1,50,1,360,1,90,1,90,1,90,1,180,1,90,1,90,1,130,1,90,1,50,1,270
,2017,1,270,1,270,1,180,1,90,1,90,1,90,1,90,1,180,1,50,1,90,1,50,1,270
,2018,1,270,1,280,1,90,1,90,1,90,1,90,1,180,1,130,1,140,1,270,1,90,1,270
,2019,1,310,1,270,1,270,1,90,1,90,1,130,1,130,1,90,1,360,1,90,1,90,1,270
,2020,1,310,1,270,1,90,1,90,1,90,1,150,1,230,1,90,1,90,1,90,1,270,1,360
,2021,1,270,1,270,1,180,1,50,1,180,1,180,1,90,1,90,1,130,1,50,1,50,1,90
,2022,1,270,1,310,1,230,1,130,1,50,1,230,1,130,1,130,1,180,1,90,1,90,1,360
,2023,1,50,1,310,1,270,1,90,1,230,1,50,1,130,1,50,1,180,1,130,1,90,1,270
,2024,1,270,1,270,1,230,1,90,1,310,1,50,1,130,**,**,**,**,**,**,**,**,**,**
,Station : Rangpur,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1,360,1,130,1,270,1,90,1,90,1,170,1,130,1,130,1,50,1,80,1,50,1,50
,2016,1,50,2,230,1,270,1,170,1,130,1,130,1,50,1,230,1,230,1,170,2,50,1,310
,2017,1,50,1,230,1,170,1,50,1,230,1,130,1,130,1,270,1,80,1,130,1,130,1,50
,2018,1,270,1,220,1,230,1,,1,130,1,130,1,130,1,130,1,130,1,230,1,230,1,320
,2019,1,310,1,50,1,90,1,50,1,130,1,130,1,90,1,50,1,50,1,90,1,270,1,270
,2020,1,270,1,230,1,290,1,230,1,50,1,130,1,130,1,50,1,90,1,130,1,130,1,50
,2021,1,230,1,350,1,290,1,90,1,180,1,270,1,50,1,90,1,50,1,50,1,50,1,50
,2022,1,230,1,270,1,230,1,90,1,50,1,50,1,130,1,130,1,130,1,310,1,180,1,90
,2023,1,50,1,180,1,50,1,130,1,130,1,130,1,130,1,230,1,50,1,90,1,330,1,360
,2024,1,360,1,270,1,220,1,50,1,50,1,50,**,**,**,**,**,**,**,**,**,**,**,**
,Station : Rajshahi,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1,130,1,270,1,130,1,90,1,130,1,90,1,180,1,90,1,130,1,180,1,360,1,360
,2016,1,270,1,180,1,180,1,360,1,90,1,90,1,180,1,90,1,90,1,50,1,360,1,360
,2017,1,310,1,310,1,90,1,180,1,50,1,360,1,90,1,90,1,130,1,180,1,310,1,270
,2018,1,360,1,360,1,210,1,90,1,50,1,90,1,180,1,230,1,90,1,180,1,180,1,360
